0xd2018bfaa266a9ec0a1a84b061640faa009def76.sol,Pie,delegatecall_dangerous;exception_disorder;gasless_send,
0xd5967fed03e85d1cce44cab284695b41bc675b5c.sol,demo,delegatecall_dangerous;exception_disorder;gasless_send,
0xdb1c55f6926e7d847ddf8678905ad871a68199d2.sol,FreeEth,delegatecall_dangerous;exception_disorder;gasless_send,
0xe4eabdca81e31d9acbc4af76b30f532b6ed7f3bf.sol,Honey,delegatecall_dangerous;exception_disorder;gasless_send,
0xe82f0742a71a02b9e9ffc142fdcb6eb1ed06fb87.sol,Freebie,delegatecall_dangerous;exception_disorder;gasless_send,
0xe894d54dca59cb53fe9cbc5155093605c7068220.sol,airDrop,delegatecall_dangerous;exception_disorder;gasless_send,
0xec329ffc97d75fe03428ae155fc7793431487f63.sol,TokenSender,delegatecall_dangerous;exception_disorder;gasless_send,
0xf2570186500a46986f3139f65afedc2afe4f445d.sol,RealOldFuckMaker,delegatecall_dangerous;exception_disorder;gasless_send,
0xf29ebe930a539a60279ace72c707cba851a57707.sol,B,delegatecall_dangerous;exception_disorder;gasless_send,
0xf70d589d76eebdd7c12cc5eec99f8f6fa4233b9e.sol,WhaleGiveaway2,delegatecall_dangerous;exception_disorder;gasless_send,
