0x01f8c4e3fa3edeb29e514cba738d87ce8c091d3f.sol,PERSONAL_BANK,reentrancy,
0x0cbe050f75bc8f8c2d6c0d249fea125fd6e1acc9.sol,Caller,delegatecall_dangerous;exception_disorder;gasless_send,
0x19cf8481ea15427a98ba3cdd6d9e14690011ab10.sol,daoPOLSKAtokens,timedependency;numberdependency;delegatecall_dangerous;exception_disorder;gasless_send,
0x2972d548497286d18e92b5fa1f8f9139e5653fd2.sol,demo,delegatecall_dangerous;exception_disorder;gasless_send,
0x39cfd754c85023648bf003bea2dd498c5612abfa.sol,TokenBank,delegatecall_dangerous;exception_disorder;gasless_send,
0x3a0e9acd953ffc0dd18d63603488846a6b8b2b01.sol,TokenBank,delegatecall_dangerous;exception_disorder;gasless_send,
0x3e013fc32a54c4c5b6991ba539dcd0ec4355c859.sol,MultiplicatorX4,delegatecall_dangerous;exception_disorder;gasless_send,
0x3f2ef511aa6e75231e4deafc7a3d2ecab3741de2.sol,WhaleGiveaway2,delegatecall_dangerous;exception_disorder;gasless_send,
0x4051334adc52057aca763453820cb0e045076ef3.sol,airdrop,delegatecall_dangerous;exception_disorder;gasless_send,
0x4320e6f8c05b27ab4707cd1f6d5ce6f3e4b3a5a1.sol,ACCURAL_DEPOSIT,reentrancy,
