0x78c2a1e91b52bca4130b6ed9edd9fbcfd4671c37.sol,WhaleGiveaway1,delegatecall_dangerous;exception_disorder;gasless_send,
0x7a4349a749e59a5736efb7826ee3496a2dfd5489.sol,WhaleGiveaway1,delegatecall_dangerous;exception_disorder;gasless_send,
0x7a8721a9d64c74da899424c1b52acbf58ddc9782.sol,PrivateDeposit,reentrancy,
0x806a6bd219f162442d992bdc4ee6eba1f2c5a707.sol,Pie,delegatecall_dangerous;exception_disorder;gasless_send,
0x84d9ec85c9c568eb332b7226a8f826d897e0a4a8.sol,WedIndex,delegatecall_dangerous;exception_disorder;gasless_send,
0x89c1b3807d4c67df034fffb62f3509561218d30b.sol,TownCrier,delegatecall_dangerous;exception_disorder;gasless_send,
0x8fd1e427396ddb511533cf9abdbebd0a7e08da35.sol,TokenBank,delegatecall_dangerous;exception_disorder;gasless_send,
0x96edbe868531bd23a6c05e9d0c424ea64fb1b78b.sol,PENNY_BY_PENNY,timedependency;numberdependency;reentrancy,
0x9d06cbafa865037a01d322d3f4222fa3e04e5488.sol,Delta,delegatecall_dangerous;exception_disorder;gasless_send,
0xa1fceeff3acc57d257b917e30c4df661401d6431.sol,AirDropContract,delegatecall_dangerous;exception_disorder;gasless_send,
