blackjack.sol,BlackJack,timedependency;numberdependency,
etheraffle.sol,Ethraffle_v4b,timedependency;numberdependency,
etherbank.sol,EtherBank,reentrancy,
etherpot_lotto.sol,Lotto,timedependency;numberdependency;delegatecall_dangerous;exception_disorder;gasless_send,
etherstore.sol,EtherStore,timedependency;numberdependency;reentrancy,
guess_the_random_number.sol,GuessTheRandomNumberChallenge,timedependency;numberdependency,
king_of_the_ether_throne.sol,KingOfTheEtherThrone,delegatecall_dangerous;exception_disorder;gasless_send,
lottery.sol,Lottery,timedependency;numberdependency,
lotto.sol,Lotto,delegatecall_dangerous;exception_disorder;gasless_send,
lucky_doubler.sol,LuckyDoubler,timedependency;numberdependency;delegatecall_dangerous;exception_disorder;gasless_send,
